


   t (Gyr) =  0.001
-----------------------------------------------------------------------------------------
    M/Ms	Teff(K)    L/Ls  lg(g)  R(Gcm       D      Li           J           H           K
-----------------------------------------------------------------------------------------
  0.0005   628.   -5.37   2.65  12.25  1.0000  1.0000      16.528      16.165      16.118
  0.0010   942.   -4.72   3.00  11.57  1.0000  1.0000      14.567      14.050      13.441
  0.0020  1285.   -4.14   3.26  12.09  1.0000  1.0000      12.944      12.328      11.778
  0.0030  1553.   -3.75   3.37  12.99  1.0000  1.0000      11.885      11.320      10.765
  0.0040  1747.   -3.48   3.44  13.92  1.0000  1.0000      11.189      10.682      10.130
  0.0050  1901.   -3.27   3.47  14.95  1.0000  1.0000      10.663      10.195       9.672
  0.0060  2004.   -3.13   3.50  15.88  1.0000  1.0000      10.294       9.846       9.351
  0.0070  2098.   -3.00   3.51  16.85  1.0000  1.0000       9.968       9.533       9.065
  0.0080  2159.   -2.89   3.52  17.96  1.0000  1.0000       9.726       9.286       8.831
  0.0090  2207.   -2.81   3.53  18.88  1.0000  1.0000       9.537       9.093       8.650
  0.0100  2251.   -2.73   3.53  19.81  1.0000  1.0000       9.357       8.918       8.483
  0.0120  2321.   -2.61   3.54  21.40  1.0000  1.0000       9.072       8.639       8.219
  0.0150  2400.   -2.46   3.54  24.04  1.0000  1.0000       8.694       8.266       7.861
  0.0200  2484.   -2.28   3.55  27.47  1.0000  1.0000       8.276       7.852       7.464
  0.0300  2598.   -2.17   3.69  28.38  0.9800  1.0000       8.047       7.616       7.250
  0.0400  2746.   -1.94   3.68  33.27  0.7350  1.0000       7.551       7.100       6.741
  0.0500  2768.   -1.64   3.49  46.38  0.9900  1.0000       6.796       6.351       6.000
  0.0600  2824.   -1.60   3.57  46.27  0.6050  1.0000       6.732       6.277       5.939
  0.0700  2853.   -1.48   3.53  52.41  0.5600  1.0000       6.423       5.965       5.636
  0.0720  2858.   -1.45   3.52  53.68  0.5550  1.0000       6.365       5.906       5.579
  0.0750  2833.   -1.39   3.46  58.93  0.9150  1.0000       6.189       5.734       5.404
  0.0800  2869.   -1.37   3.49  58.47  0.5100  1.0000       6.162       5.701       5.379
  0.0900  2867.   -1.29   3.46  64.54  0.4895  1.0000       5.947       5.484       5.165
  0.1000  2856.   -1.19   3.39  73.18  0.8000  1.0000       5.682       5.218       4.904
  0.1100  3023.   -1.08   3.43  73.48  0.3120  1.0000       5.467       4.935       4.680
  0.1300  3072.   -0.96   3.41  82.37  0.1975  1.0000       5.156       4.590       4.359
  0.1500  3120.   -0.85   3.39  90.05  0.1120  1.0000       4.903       4.302       4.091
  0.1750  3163.   -0.76   3.39  97.57  0.0363  1.0000       4.678       4.043       3.847
  0.2000  3193.   -0.70   3.40 102.60  0.0041  1.0000       4.534       3.879       3.691
  0.2500  3242.   -0.61   3.43 110.47  0.0000  1.0000       4.318       3.631       3.453
  0.3000  3281.   -0.53   3.46 118.10  0.0000  1.0000       4.126       3.413       3.246
  0.3500  3318.   -0.46   3.47 125.44  0.0000  1.0000       3.951       3.216       3.058
  0.4000  3357.   -0.39   3.48 132.28  0.0000  1.0000       3.790       3.039       2.888
  0.4500  3388.   -0.34   3.49 138.40  0.0000  1.0000       3.653       2.889       2.745
  0.5000  3427.   -0.28   3.50 144.06  0.0000  1.0000       3.527       2.752       2.608
  0.5700  3485.   -0.21   3.52 151.93  0.0000  1.0000       3.359       2.573       2.423
  0.6000  3507.   -0.17   3.52 155.92  0.0000  1.0000       3.284       2.492       2.342
  0.6200  3525.   -0.15   3.52 157.89  0.0000  1.0000       3.241       2.448       2.295
  0.7000  3593.   -0.08   3.53 164.80  0.0000  1.0000       3.091       2.293       2.132
  0.7500  3632.   -0.04   3.54 169.47  0.0000  1.0000       3.000       2.199       2.036
  0.8000  3670.    0.00   3.55 173.80  0.0000  1.0000       2.917       2.114       1.948
  0.8500  3705.    0.04   3.55 178.34  0.0000  1.0000       2.835       2.031       1.862
  0.9000  3752.    0.03   3.61 171.83  0.0000  1.0000       2.882       2.083       1.914
  0.9500  3776.    0.11   3.56 186.04  0.0000  1.0000       2.689       1.891       1.721
  1.0000  3810.    0.13   3.58 187.82  0.0000  1.0000       2.643       1.849       1.679
  1.0500  3841.    0.17   3.57 193.60  0.0000  1.0000       2.553       1.765       1.595
  1.1000  3871.    0.21   3.57 197.99  0.0000  1.0000       2.480       1.699       1.530
  1.1500  3899.    0.23   3.58 201.14  0.0000  1.0000       2.424       1.648       1.480
  1.2000  3978.    0.28   3.58 203.89  0.0000  1.0000       2.336       1.578       1.414
  1.3000  4098.    0.35   3.60 208.83  0.0000  1.0000       2.272       1.530       1.361
  1.4000  4197.    0.42   3.60 214.98  0.0000  1.0000       2.136       1.424       1.264
-----------------------------------------------------------------------------------------



   t (Gyr) =  0.002
-----------------------------------------------------------------------------------------
    M/MsTeff(K)    L/Ls  lg(g)  R(Gcm       D      Li           J           H           K
-----------------------------------------------------------------------------------------
  0.0005   549.   -5.67   2.71  11.32  1.0000  1.0000      17.568      17.164      17.778
  0.0010   814.   -5.04   3.07  10.67  1.0000  1.0000      15.374      14.993      14.436
  0.0020  1125.   -4.45   3.34  11.00  1.0000  1.0000      13.741      13.219      12.676
  0.0030  1352.   -4.09   3.47  11.56  1.0000  1.0000      12.760      12.182      11.679
  0.0040  1551.   -3.81   3.56  12.14  1.0000  1.0000      12.013      11.470      10.952
  0.0050  1716.   -3.59   3.61  12.76  1.0000  1.0000      11.438      10.933      10.403
  0.0060  1849.   -3.42   3.65  13.39  1.0000  1.0000      11.010      10.536      10.021
  0.0070  1954.   -3.28   3.67  14.04  1.0000  1.0000      10.666      10.213       9.718
  0.0080  2047.   -3.16   3.69  14.77  1.0000  1.0000      10.352       9.912       9.438
  0.0090  2119.   -3.06   3.70  15.42  1.0000  1.0000      10.118       9.680       9.223
  0.0100  2172.   -2.98   3.71  16.08  1.0000  1.0000       9.941       9.495       9.049
  0.0120  2264.   -2.84   3.73  17.32  1.0000  1.0000       9.626       9.181       8.754
  0.0150  2368.   -2.68   3.73  19.18  1.0000  1.0000       9.240       8.800       8.391
  0.0200  2477.   -2.48   3.74  22.00  0.9950  1.0000       8.775       8.339       7.951
  0.0300  2609.   -2.23   3.75  26.48  0.8500  1.0000       8.190       7.753       7.387
  0.0400  2747.   -1.96   3.70  32.62  0.5100  1.0000       7.593       7.141       6.781
  0.0500  2790.   -1.74   3.61  40.32  0.7600  1.0000       7.075       6.624       6.275
  0.0600  2828.   -1.63   3.60  44.55  0.3000  1.0000       6.810       6.354       6.016
  0.0700  2858.   -1.52   3.57  49.96  0.2255  1.0000       6.522       6.062       5.733
  0.0720  2864.   -1.50   3.57  50.96  0.2090  1.0000       6.471       6.010       5.683
  0.0750  2865.   -1.42   3.51  55.30  0.5100  1.0000       6.291       5.831       5.506
  0.0800  2884.   -1.42   3.55  54.85  0.1520  1.0000       6.285       5.821       5.501
  0.0900  2904.   -1.34   3.53  59.50  0.1030  1.0000       6.082       5.614       5.301
  0.1000  2884.   -1.22   3.45  68.96  0.3220  1.0000       5.780       5.313       5.002
  0.1100  3014.   -1.25   3.59  61.16  0.0005  1.0000       5.888       5.379       5.102
  0.1300  3045.   -1.19   3.63  63.93  0.0000  1.0000       5.756       5.232       4.964
  0.1500  3080.   -1.13   3.65  67.08  0.0000  1.0000       5.610       5.069       4.812
  0.1750  3122.   -1.05   3.66  71.29  0.0000  1.0000       5.428       4.865       4.621
  0.2000  3162.   -0.99   3.67  75.26  0.0000  1.0000       5.263       4.676       4.445
  0.2500  3245.   -0.85   3.68  83.15  0.0000  1.0000       4.946       4.306       4.101
  0.3000  3313.   -0.75   3.69  90.30  0.0000  1.0000       4.686       4.003       3.817
  0.3500  3369.   -0.66   3.69  96.92  0.0000  1.0000       4.467       3.757       3.581
  0.4000  3416.   -0.58   3.70 103.26  0.0000  1.0000       4.278       3.547       3.377
  0.4500  3460.   -0.51   3.70 109.09  0.0000  1.0000       4.117       3.371       3.203
  0.5000  3497.   -0.45   3.71 114.14  0.0000  1.0000       3.984       3.226       3.060
  0.5700  3552.   -0.37   3.71 121.53  0.0000  1.0000       3.798       3.027       2.861
  0.6000  3574.   -0.34   3.71 123.97  0.0000  1.0000       3.735       2.960       2.794
  0.6200  3588.   -0.32   3.71 126.14  0.0000  1.0000       3.685       2.907       2.741
  0.7000  3645.   -0.24   3.72 132.97  0.0000  1.0000       3.525       2.738       2.571
  0.7500  3679.   -0.20   3.73 136.65  0.0000  1.0000       3.440       2.648       2.481
  0.8000  3711.   -0.17   3.73 140.12  0.0000  1.0000       3.360       2.567       2.398
  0.8500  3745.   -0.13   3.74 143.76  0.0000  1.0000       3.279       2.486       2.317
  0.9000  3780.   -0.11   3.76 144.49  0.0000  0.9990       3.243       2.450       2.281
  0.9500  3808.   -0.06   3.74 150.85  0.0000  0.9990       3.127       2.336       2.167
  1.0000  3842.   -0.03   3.75 153.14  0.0000  0.9980       3.068       2.283       2.115
  1.0500  3873.    0.01   3.75 157.89  0.0000  0.9980       2.978       2.198       2.031
  1.1000  3910.    0.04   3.75 160.58  0.0000  0.9980       2.913       2.140       1.974
  1.1500  3998.    0.09   3.76 163.06  0.0000  0.9980       2.814       2.061       1.899
  1.2000  4048.    0.12   3.77 164.46  0.0000  0.9970       2.790       2.045       1.879
  1.3000  4136.    0.18   3.78 168.42  0.0000  0.9980       2.706       1.980       1.814
  1.4000  4211.    0.24   3.79 173.62  0.0000  0.9980       2.584       1.878       1.720
-----------------------------------------------------------------------------------------



   t (Gyr) =  0.003
-----------------------------------------------------------------------------------------
    M/MsTeff(K)    L/Ls  lg(g)  R(Gcm       D      Li           J           H           K
-----------------------------------------------------------------------------------------
  0.0005   501.   -5.87   2.75  10.86  1.0000  1.0000      18.225      17.761      18.846
  0.0010   734.   -5.26   3.10  10.23  1.0000  1.0000      15.967      15.606      15.334
  0.0020  1025.   -4.65   3.38  10.49  1.0000  1.0000      14.265      13.811      13.246
  0.0030  1241.   -4.29   3.52  10.93  1.0000  1.0000      13.254      12.728      12.241
  0.0040  1415.   -4.03   3.62  11.34  1.0000  1.0000      12.571      12.018      11.546
  0.0050  1580.   -3.80   3.68  11.79  1.0000  1.0000      11.974      11.452      10.957
  0.0060  1721.   -3.62   3.72  12.27  1.0000  1.0000      11.497      11.002      10.492
  0.0070  1842.   -3.46   3.76  12.77  1.0000  1.0000      11.119      10.649      10.145
  0.0080  1943.   -3.34   3.78  13.29  1.0000  1.0000      10.804      10.352       9.862
  0.0090  2028.   -3.23   3.79  13.86  1.0000  1.0000      10.524      10.083       9.610
  0.0100  2100.   -3.14   3.81  14.35  1.0000  1.0000      10.300       9.865       9.408
  0.0120  2207.   -2.99   3.83  15.43  1.0000  1.0000       9.970       9.517       9.082
  0.0150  2332.   -2.81   3.84  16.96  0.9950  1.0000       9.563       9.116       8.703
  0.0200  2465.   -2.58   3.84  19.64  0.9700  1.0000       9.043       8.601       8.210
  0.0300  2613.   -2.24   3.77  25.96  0.6750  1.0000       8.230       7.792       7.426
  0.0400  2749.   -1.98   3.72  31.79  0.3125  1.0000       7.648       7.194       6.835
  0.0500  2793.   -1.77   3.63  39.23  0.4780  1.0000       7.132       6.679       6.331
  0.0600  2835.   -1.69   3.66  41.57  0.0665  1.0000       6.954       6.494       6.157
  0.0700  2871.   -1.60   3.66  44.82  0.0130  1.0000       6.746       6.281       5.953
  0.0720  2878.   -1.59   3.67  45.30  0.0078  1.0000       6.714       6.248       5.922
  0.0750  2873.   -1.47   3.56  52.07  0.1605  1.0000       6.413       5.951       5.626
  0.0800  2905.   -1.54   3.68  46.96  0.0004  1.0000       6.603       6.132       5.813
  0.0900  2928.   -1.49   3.69  49.11  0.0000  1.0000       6.478       6.000       5.687
  0.1000  2925.   -1.31   3.56  60.17  0.0106  1.0000       6.033       5.557       5.249
  0.1100  3040.   -1.42   3.77  49.59  0.0000  1.0000       6.323       5.810       5.529
  0.1300  3073.   -1.34   3.79  53.09  0.0000  1.0000       6.136       5.610       5.338
  0.1500  3105.   -1.27   3.80  56.33  0.0000  1.0000       5.970       5.433       5.169
  0.1750  3136.   -1.19   3.80  60.60  0.0000  1.0000       5.773       5.219       4.965
  0.2000  3174.   -1.11   3.81  64.38  0.0000  1.0000       5.597       5.023       4.780
  0.2500  3258.   -0.98   3.82  71.23  0.0000  1.0000       5.277       4.656       4.436
  0.3000  3333.   -0.86   3.82  77.79  0.0000  1.0000       4.997       4.333       4.132
  0.3500  3392.   -0.77   3.82  83.88  0.0000  1.0000       4.765       4.070       3.881
  0.4000  3442.   -0.69   3.82  89.38  0.0000  1.0000       4.578       3.862       3.679
  0.4500  3483.   -0.62   3.83  94.42  0.0000  1.0000       4.419       3.686       3.508
  0.5000  3524.   -0.56   3.83  99.24  0.0000  1.0000       4.272       3.526       3.351
  0.5700  3575.   -0.48   3.83 105.65  0.0000  1.0000       4.088       3.327       3.156
  0.6000  3594.   -0.45   3.83 108.34  0.0000  1.0000       4.016       3.248       3.079
  0.6200  3609.   -0.43   3.84 109.61  0.0000  1.0000       3.978       3.207       3.039
  0.7000  3664.   -0.35   3.84 116.09  0.0000  0.9990       3.809       3.028       2.860
  0.7500  3695.   -0.31   3.84 119.30  0.0000  0.9970       3.726       2.939       2.771
  0.8000  3731.   -0.27   3.85 122.87  0.0000  0.9950       3.635       2.847       2.678
  0.8500  3764.   -0.23   3.85 126.01  0.0000  0.9920       3.555       2.766       2.598
  0.9000  3796.   -0.21   3.86 128.06  0.0000  0.9890       3.498       2.708       2.539
  0.9500  3828.   -0.16   3.85 132.88  0.0000  0.9900       3.392       2.606       2.438
  1.0000  3863.   -0.13   3.86 134.87  0.0000  0.9890       3.333       2.553       2.386
  1.0500  3893.   -0.10   3.86 138.28  0.0000  0.9910       3.255       2.480       2.313
  1.1000  3972.   -0.04   3.86 141.37  0.0000  0.9920       3.148       2.389       2.226
  1.1500  4032.   -0.01   3.87 142.79  0.0000  0.9910       3.100       2.353       2.189
  1.2000  4075.    0.02   3.88 144.88  0.0000  0.9920       3.061       2.323       2.156
  1.3000  4156.    0.08   3.89 149.16  0.0000  0.9940       2.952       2.233       2.069
  1.4000  4231.    0.14   3.90 153.67  0.0000  0.9950       2.832       2.133       1.976
-----------------------------------------------------------------------------------------



   t (Gyr) =  0.004
-----------------------------------------------------------------------------------------
    M/MsTeff(K)    L/Ls  lg(g)  R(Gcm       D      Li           J           H           K
-----------------------------------------------------------------------------------------
  0.0005   473.   -5.99   2.78  10.53  1.0000  1.0000      18.806      18.288      19.930
  0.0010   685.   -5.40   3.12   9.99  1.0000  1.0000      16.376      16.022      15.986
  0.0020   957.   -4.80   3.41  10.20  1.0000  1.0000      14.645      14.241      13.668
  0.0030  1160.   -4.43   3.55  10.53  1.0000  1.0000      13.636      13.163      12.669
  0.0040  1327.   -4.17   3.65  10.89  1.0000  1.0000      12.942      12.417      11.959
  0.0050  1490.   -3.94   3.72  11.29  1.0000  1.0000      12.334      11.806      11.345
  0.0060  1626.   -3.76   3.77  11.65  1.0000  1.0000      11.858      11.352      10.867
  0.0070  1750.   -3.60   3.81  12.05  1.0000  1.0000      11.458      10.974      10.477
  0.0080  1858.   -3.47   3.84  12.45  1.0000  1.0000      11.133      10.669      10.175
  0.0090  1951.   -3.36   3.86  12.91  1.0000  1.0000      10.844      10.395       9.912
  0.0100  2029.   -3.26   3.87  13.36  1.0000  1.0000      10.598      10.159       9.690
  0.0120  2152.   -3.10   3.90  14.19  1.0000  1.0000      10.239       9.793       9.349
  0.0150  2294.   -2.91   3.91  15.58  0.9900  1.0000       9.805       9.354       8.936
  0.0200  2456.   -2.64   3.88  18.60  0.9050  1.0000       9.176       8.731       8.339
  0.0300  2615.   -2.25   3.78  25.64  0.5450  1.0000       8.256       7.817       7.451
  0.0400  2751.   -2.01   3.76  30.50  0.1365  1.0000       7.735       7.279       6.921
  0.0500  2798.   -1.80   3.67  37.81  0.2370  1.0000       7.206       6.752       6.404
  0.0600  2854.   -1.80   3.79  36.05  0.0001  1.0000       7.244       6.778       6.442
  0.0700  2895.   -1.74   3.82  37.70  0.0000  1.0000       7.098       6.626       6.299
  0.0720  2902.   -1.72   3.82  38.19  0.0000  1.0000       7.062       6.589       6.264
  0.0750  2891.   -1.58   3.69  45.16  0.0011  1.0000       6.705       6.236       5.913
  0.0800  2925.   -1.68   3.83  39.73  0.0000  1.0000       6.949       6.470       6.151
  0.0900  2951.   -1.61   3.83  42.01  0.0000  1.0000       6.796       6.312       5.999
  0.1000  2957.   -1.48   3.75  48.68  0.0000  1.0000       6.463       5.977       5.671
  0.1100  3065.   -1.51   3.89  43.57  0.0000  1.0000       6.582       6.067       5.784
  0.1300  3105.   -1.43   3.90  46.85  0.0000  1.0000       6.377       5.850       5.577
  0.1500  3130.   -1.35   3.90  50.23  0.0000  1.0000       6.194       5.655       5.390
  0.1750  3162.   -1.27   3.90  54.04  0.0000  1.0000       5.997       5.444       5.187
  0.2000  3197.   -1.20   3.90  57.74  0.0000  1.0000       5.811       5.242       4.994
  0.2500  3270.   -1.06   3.90  64.31  0.0000  1.0000       5.491       4.882       4.652
  0.3000  3340.   -0.95   3.91  69.92  0.0000  1.0000       5.228       4.582       4.369
  0.3500  3400.   -0.86   3.91  75.39  0.0000  1.0000       4.997       4.318       4.118
  0.4000  3452.   -0.78   3.92  80.30  0.0000  1.0000       4.808       4.106       3.914
  0.4500  3492.   -0.70   3.91  85.29  0.0000  1.0000       4.638       3.916       3.731
  0.5000  3533.   -0.64   3.92  89.68  0.0000  0.9990       4.489       3.752       3.573
  0.5700  3584.   -0.56   3.92  95.41  0.0000  0.9980       4.306       3.551       3.378
  0.6000  3604.   -0.53   3.92  97.81  0.0000  0.9970       4.233       3.472       3.302
  0.6200  3619.   -0.51   3.92  99.53  0.0000  0.9960       4.183       3.419       3.249
  0.7000  3674.   -0.43   3.92 105.34  0.0000  0.9880       4.016       3.239       3.070
  0.7500  3703.   -0.39   3.92 108.81  0.0000  0.9780       3.922       3.139       2.971
  0.8000  3740.   -0.35   3.93 111.47  0.0000  0.9680       3.843       3.058       2.889
  0.8500  3773.   -0.31   3.93 114.92  0.0000  0.9680       3.752       2.965       2.797
  0.9000  3806.   -0.28   3.94 116.72  0.0000  0.9660       3.695       2.907       2.738
  0.9500  3841.   -0.23   3.93 121.07  0.0000  0.9730       3.587       2.804       2.637
  1.0000  3878.   -0.21   3.94 122.81  0.0000  0.9750       3.528       2.751       2.585
  1.0500  3928.   -0.16   3.94 126.60  0.0000  0.9800       3.424       2.655       2.491
  1.1000  4014.   -0.11   3.95 128.10  0.0000  0.9810       3.342       2.591       2.429
  1.1500  4057.   -0.08   3.96 129.88  0.0000  0.9820       3.302       2.561       2.395
  1.2000  4098.   -0.04   3.96 132.27  0.0000  0.9840       3.252       2.522       2.352
  1.3000  4180.    0.02   3.97 136.71  0.0000  0.9890       3.121       2.409       2.247
  1.4000  4260.    0.08   3.96 142.15  0.0000  0.9930       2.978       2.287       2.134
-----------------------------------------------------------------------------------------



   t (Gyr) =  0.005
-----------------------------------------------------------------------------------------
    M/MsTeff(K)    L/Ls  lg(g)  R(Gcm       D      Li           J           H           K
-----------------------------------------------------------------------------------------
  0.0005   455.   -6.08   2.79  10.33  1.0000  1.0000      19.185      18.632      20.645
  0.0010   644.   -5.52   3.14   9.79  1.0000  1.0000      16.784      16.440      16.657
  0.0020   901.   -4.92   3.43   9.98  1.0000  1.0000      14.964      14.601      14.028
  0.0030  1098.   -4.55   3.58  10.27  1.0000  1.0000      13.936      13.503      12.994
  0.0040  1263.   -4.28   3.68  10.59  1.0000  1.0000      13.219      12.729      12.274
  0.0050  1413.   -4.06   3.75  10.92  1.0000  1.0000      12.642      12.119      11.684
  0.0060  1543.   -3.89   3.80  11.20  1.0000  1.0000      12.177      11.668      11.214
  0.0070  1668.   -3.73   3.84  11.54  1.0000  1.0000      11.757      11.264      10.784
  0.0080  1786.   -3.58   3.87  11.92  1.0000  1.0000      11.390      10.915      10.426
  0.0090  1885.   -3.46   3.90  12.26  1.0000  1.0000      11.103      10.645      10.159
  0.0100  1965.   -3.36   3.92  12.62  1.0000  1.0000      10.858      10.412       9.936
  0.0120  2102.   -3.19   3.95  13.40  0.9950  1.0000      10.441      10.006       9.555
  0.0150  2264.   -2.98   3.96  14.76  0.9750  1.0000       9.973       9.518       9.096
  0.0200  2452.   -2.66   3.90  18.18  0.8200  1.0000       9.234       8.787       8.394
  0.0300  2616.   -2.26   3.79  25.27  0.4180  1.0000       8.287       7.846       7.480
  0.0400  2754.   -2.07   3.81  28.52  0.0249  1.0000       7.878       7.419       7.061
  0.0500  2806.   -1.85   3.72  35.47  0.0570  1.0000       7.336       6.879       6.532
  0.0600  2875.   -1.90   3.90  31.69  0.0000  1.0000       7.503       7.031       6.697
  0.0700  2916.   -1.83   3.92  33.51  0.0000  1.0000       7.333       6.856       6.530
  0.0720  2921.   -1.81   3.92  33.97  0.0000  1.0000       7.298       6.819       6.495
  0.0750  2912.   -1.72   3.83  38.27  0.0000  1.0000       7.045       6.570       6.247
  0.0800  2946.   -1.76   3.92  35.53  0.0000  1.0000       7.171       6.688       6.370
  0.0900  2974.   -1.70   3.93  37.56  0.0000  1.0000       7.016       6.529       6.217
  0.1000  2983.   -1.58   3.86  42.55  0.0000  1.0000       6.730       6.240       5.934
  0.1100  3094.   -1.59   3.97  39.33  0.0000  1.0000       6.775       6.260       5.976
  0.1300  3130.   -1.49   3.97  42.75  0.0000  1.0000       6.550       6.021       5.747
  0.1500  3163.   -1.42   3.98  45.81  0.0000  1.0000       6.361       5.818       5.552
  0.1750  3198.   -1.33   3.98  49.51  0.0000  1.0000       6.150       5.594       5.336
  0.2000  3225.   -1.26   3.98  52.90  0.0000  1.0000       5.975       5.405       5.154
  0.2500  3287.   -1.13   3.98  58.99  0.0000  1.0000       5.664       5.063       4.827
  0.3000  3345.   -1.02   3.98  64.53  0.0000  1.0000       5.403       4.771       4.548
  0.3500  3402.   -0.93   3.98  69.61  0.0000  1.0000       5.175       4.511       4.301
  0.4000  3455.   -0.84   3.98  74.51  0.0000  1.0000       4.974       4.283       4.084
  0.4500  3495.   -0.77   3.98  78.72  0.0000  0.9990       4.814       4.102       3.912
  0.5000  3538.   -0.70   3.98  83.21  0.0000  0.9970       4.652       3.923       3.740
  0.5700  3588.   -0.62   3.98  88.52  0.0000  0.9880       4.469       3.720       3.546
  0.6000  3608.   -0.59   3.99  90.75  0.0000  0.9820       4.396       3.640       3.468
  0.6200  3623.   -0.57   3.98  92.35  0.0000  0.9760       4.346       3.586       3.414
  0.7000  3678.   -0.50   3.99  97.71  0.0000  0.9360       4.178       3.405       3.236
  0.7500  3709.   -0.45   3.99 100.94  0.0000  0.9230       4.083       3.304       3.136
  0.8000  3745.   -0.41   3.99 103.93  0.0000  0.9210       3.993       3.210       3.042
  0.8500  3779.   -0.37   4.00 106.54  0.0000  0.9270       3.915       3.129       2.961
  0.9000  3815.   -0.34   4.00 108.78  0.0000  0.9360       3.843       3.058       2.890
  0.9500  3852.   -0.30   4.00 112.19  0.0000  0.9490       3.747       2.967       2.800
  1.0000  3890.   -0.26   4.01 114.51  0.0000  0.9570       3.673       2.898       2.733
  1.0500  3977.   -0.20   4.00 117.49  0.0000  0.9660       3.552       2.793       2.632
  1.1000  4035.   -0.16   4.01 119.34  0.0000  0.9680       3.491       2.747       2.583
  1.1500  4078.   -0.13   4.01 121.42  0.0000  0.9710       3.442       2.709       2.541
  1.2000  4122.   -0.09   4.02 123.58  0.0000  0.9770       3.382       2.659       2.491
  1.3000  4209.   -0.02   4.02 128.37  0.0000  0.9860       3.235       2.531       2.373
  1.4000  4303.    0.05   4.01 134.15  0.0000  0.9920       3.071       2.394       2.244
-----------------------------------------------------------------------------------------



   t (Gyr) =  0.006
-----------------------------------------------------------------------------------------
    M/MsTeff(K)    L/Ls  lg(g)  R(Gcm       D      Li           J           H           K
-----------------------------------------------------------------------------------------
  0.0005   436.   -6.17   2.81  10.14  1.0000  1.0000      19.567      18.982      21.371
  0.0010   614.   -5.62   3.15   9.66  1.0000  1.0000      17.079      16.741      17.144
  0.0020   860.   -5.02   3.44   9.83  1.0000  1.0000      15.227      14.884      14.378
  0.0030  1050.   -4.65   3.59  10.08  1.0000  1.0000      14.189      13.790      13.263
  0.0040  1213.   -4.37   3.69  10.38  1.0000  1.0000      13.437      12.980      12.521
  0.0050  1354.   -4.16   3.77  10.65  1.0000  1.0000      12.886      12.384      11.956
  0.0060  1483.   -3.98   3.83  10.90  1.0000  1.0000      12.415      11.907      11.477
  0.0070  1607.   -3.82   3.87  11.21  1.0000  1.0000      11.979      11.483      11.025
  0.0080  1718.   -3.68   3.90  11.50  1.0000  1.0000      11.630      11.147      10.669
  0.0090  1818.   -3.56   3.93  11.79  1.0000  1.0000      11.332      10.865      10.383
  0.0100  1910.   -3.45   3.96  12.11  1.0000  1.0000      11.069      10.617      10.137
  0.0120  2057.   -3.27   3.98  12.84  0.9950  1.0000      10.622      10.186       9.728
  0.0150  2238.   -3.03   3.99  14.21  0.9450  1.0000      10.097       9.639       9.214
  0.0200  2449.   -2.68   3.92  17.91  0.7050  1.0000       9.271       8.823       8.430
  0.0300  2619.   -2.28   3.81  24.79  0.2940  1.0000       8.328       7.885       7.519
  0.0400  2759.   -2.16   3.91  25.60  0.0001  1.0000       8.108       7.645       7.287
  0.0500  2818.   -1.95   3.83  31.29  0.0002  1.0000       7.597       7.134       6.788
  0.0600  2890.   -1.98   3.98  28.80  0.0000  1.0000       7.697       7.222       6.887
  0.0700  2935.   -1.90   4.00  30.60  0.0000  1.0000       7.512       7.031       6.706
  0.0720  2942.   -1.88   4.00  31.01  0.0000  1.0000       7.475       6.993       6.669
  0.0750  2933.   -1.80   3.93  34.22  0.0000  1.0000       7.268       6.788       6.466
  0.0800  2970.   -1.82   4.00  32.62  0.0000  1.0000       7.332       6.846       6.529
  0.0900  2999.   -1.75   4.00  34.50  0.0000  1.0000       7.175       6.685       6.375
  0.1000  3006.   -1.65   3.95  38.65  0.0000  1.0000       6.917       6.424       6.119
  0.1100  3105.   -1.65   4.04  36.50  0.0000  1.0000       6.927       6.412       6.128
  0.1300  3143.   -1.55   4.04  39.66  0.0000  1.0000       6.701       6.172       5.897
  0.1500  3178.   -1.47   4.04  42.72  0.0000  1.0000       6.498       5.956       5.689
  0.1750  3211.   -1.38   4.04  46.14  0.0000  1.0000       6.291       5.734       5.476
  0.2000  3236.   -1.31   4.03  49.56  0.0000  1.0000       6.106       5.538       5.285
  0.2500  3292.   -1.18   4.04  55.28  0.0000  1.0000       5.803       5.207       4.968
  0.3000  3345.   -1.08   4.04  60.49  0.0000  1.0000       5.548       4.924       4.696
  0.3500  3399.   -0.98   4.04  65.31  0.0000  0.9990       5.320       4.667       4.451
  0.4000  3454.   -0.90   4.04  69.93  0.0000  0.9980       5.116       4.436       4.232
  0.4500  3499.   -0.82   4.03  74.24  0.0000  0.9940       4.941       4.238       4.043
  0.5000  3545.   -0.76   4.04  78.03  0.0000  0.9840       4.788       4.067       3.880
  0.5700  3596.   -0.68   4.04  83.03  0.0000  0.9500       4.604       3.862       3.684
  0.6000  3619.   -0.64   4.04  85.13  0.0000  0.9230       4.529       3.781       3.605
  0.6200  3635.   -0.62   4.04  86.58  0.0000  0.9030       4.480       3.727       3.552
  0.7000  3689.   -0.55   4.04  91.64  0.0000  0.8390       4.311       3.545       3.373
  0.7500  3726.   -0.50   4.05  94.59  0.0000  0.8380       4.214       3.443       3.271
  0.8000  3762.   -0.46   4.05  97.41  0.0000  0.8540       4.124       3.349       3.178
  0.8500  3794.   -0.42   4.05 100.40  0.0000  0.8790       4.035       3.255       3.085
